relative_path,status,before_bytes,after_bytes,started_at,finished_at,error
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_24_47_010.mp4",success,42607966,22730617,"2026-08-16T22:36:18.0853839+07:00","2026-08-16T22:36:42.9673043+07:00",""
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_24_47_011.mp4",success,11116088,6696852,"2026-08-16T22:36:42.9693130+07:00","2026-08-16T22:36:50.9328448+07:00",""
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_24_47_012.mp4",success,1276995,932198,"2026-08-16T22:36:50.9348459+07:00","2026-08-16T22:36:51.8438096+07:00",""
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_24_47_013.mp4",success,5219548,2702926,"2026-08-16T22:36:51.8458094+07:00","2026-08-16T22:36:55.2514504+07:00",""
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_24_47_014.mp4",skipped_small,912965,912965,"2026-08-16T22:36:55.2536237+07:00","2026-08-16T22:36:55.2546302+07:00","Source <= 1 MiB; preserved as already small."
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_24_47_015.mp4",success,10924762,4052263,"2026-08-16T22:36:55.2706571+07:00","2026-08-16T22:36:58.4888051+07:00",""
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_24_47_016.mp4",success,36553397,23132521,"2026-08-16T22:36:58.4908054+07:00","2026-08-16T22:37:25.4225404+07:00",""
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_24_47_017.mp4",success,36553397,23132521,"2026-08-16T22:37:25.4245499+07:00","2026-08-16T22:37:52.7994117+07:00",""
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_24_47_018.mp4",success,36553397,23132521,"2026-08-16T22:37:52.8014189+07:00","2026-08-16T22:38:20.1565904+07:00",""
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_24_47_019.mp4",success,36553397,23132521,"2026-08-16T22:38:20.1585926+07:00","2026-08-16T22:38:47.0263350+07:00",""
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_24_47_020.mp4",success,1877125,1468036,"2026-08-16T22:38:47.0273624+07:00","2026-08-16T22:38:48.5607139+07:00",""
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_24_47_021.mp4",skipped_small,350495,350495,"2026-08-16T22:38:48.5617243+07:00","2026-08-16T22:38:48.5617243+07:00","Source <= 1 MiB; preserved as already small."
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_24_47_022.mp4",skipped_small,254912,254912,"2026-08-16T22:38:48.5793476+07:00","2026-08-16T22:38:48.5804738+07:00","Source <= 1 MiB; preserved as already small."
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_24_47_023.mp4",success,4232068,3447931,"2026-08-16T22:38:48.5976809+07:00","2026-08-16T22:38:51.6083925+07:00",""
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_24_47_024.mp4",skipped_small,948724,948724,"2026-08-16T22:38:51.6104119+07:00","2026-08-16T22:38:51.6114126+07:00","Source <= 1 MiB; preserved as already small."
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_24_47_025.mp4",success,5045822,4413947,"2026-08-16T22:38:51.6281196+07:00","2026-08-16T22:38:58.6881059+07:00",""
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_24_47_026.mp4",success,2659907,866061,"2026-08-16T22:38:58.6900973+07:00","2026-08-16T22:38:59.6628316+07:00",""
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_48_60_001.mp4",success,1617754,725941,"2026-08-16T22:38:59.6648450+07:00","2026-08-16T22:39:00.6794601+07:00",""
"ngon_ngu/so_sanh_ngon_ngu_binh_thuong_48_60_002.mp4",success,2325859,1449060,"2026-08-16T22:39:00.6805700+07:00","2026-08-16T22:39:02.5575259+07:00",""
